
---------------------------------------
|   index   |   values   |   change   |
|-----------|------------|------------|
|   0x267   |     02     |     00     |
|   0x275   |     02     |     00     |
|   0x28d   |     02     |     00     |
|   0x29c   |     02     |     00     |
|   0x335   |     02     |     00     |
|   0x3a2   |     02     |     00     |
|   0x5e6   |     02     |     00     |
|   0x63a   |     02     |     00     |
|   0x832   |     02     |     00     |
|   0x843   |     02     |     00     |
|   0x854   |     02     |     00     |
|   0x861   |     02     |     00     |
|   0x8b3   |     02     |     00     |
|   0xb1c   |     02     |     00     |
|   0xb49   |     02     |     00     |
|   0xbe4   |     02     |     00     |
|   0xbed   |     02     |     00     |
|   0xc4d   |     02     |     00     |
|   0xc74   |     02     |     00     |
|   0xe09   |     02     |     00     |
|   0xec2   |     02     |     00     |
|   0xf07   |     02     |     00     |
|   0xf45   |     02     |     00     |
|   0xf6c   |     02     |     00     |
|   0xf81   |     02     |     00     |
|   0xfbc   |     02     |     00     |
|   0xfe0   |     02     |     00     |
|   0xff5   |     02     |     00     |
|   0x1003   |     02     |     00     |
|   0x104a   |     02     |     00     |
|   0x1095   |     02     |     00     |
|   0x10a2   |     02     |     00     |
|   0x10c8   |     02     |     00     |
|   0x116c   |     02     |     00     |
|   0x122b   |     02     |     00     |
|   0x1251   |     02     |     00     |
|   0x1268   |     02     |     00     |
|   0x12a4   |     02     |     00     |
|   0x12e1   |     02     |     00     |
|   0x136d   |     02     |     00     |
|   0x13c5   |     02     |     00     |
|   0x149c   |     02     |     00     |
|   0x14f4   |     02     |     00     |
|   0x1500   |     02     |     00     |
|   0x1523   |     02     |     00     |
|   0x156f   |     02     |     00     |
|   0x158a   |     02     |     00     |
|   0x15aa   |     02     |     00     |
|   0x15cb   |     02     |     00     |
|   0x168d   |     02     |     00     |
|   0x16e1   |     02     |     00     |
|   0x1710   |     02     |     00     |
|   0x1722   |     02     |     00     |
|   0x17e4   |     02     |     00     |
|   0x180c   |     02     |     00     |
|   0x18e4   |     02     |     00     |
|   0x195b   |     02     |     00     |
|   0x1a09   |     02     |     00     |
|   0x1a7b   |     02     |     00     |
|   0x1aa4   |     02     |     00     |
|   0x1b83   |     02     |     00     |
|   0x1bf2   |     02     |     00     |
|   0x1c1c   |     02     |     00     |
|   0x1da0   |     02     |     00     |
|   0x1dad   |     02     |     00     |
|   0x1de6   |     02     |     00     |
|   0x1e07   |     02     |     00     |
|   0x1e0c   |     02     |     00     |
|   0x1ef8   |     02     |     00     |
|   0x1f57   |     02     |     00     |
|   0x1f67   |     02     |     00     |
|   0x2002   |     02     |     00     |
|   0x2007   |     02     |     00     |
|   0x2043   |     02     |     00     |
|   0x2063   |     02     |     00     |
|   0x20a8   |     02     |     00     |
|   0x20bc   |     02     |     00     |
|   0x20c8   |     02     |     00     |
|   0x20e9   |     02     |     00     |
|   0x2125   |     02     |     00     |
|   0x2183   |     02     |     00     |
|   0x21cb   |     02     |     00     |
|   0x21ef   |     02     |     00     |
|   0x2211   |     02     |     00     |
|   0x2215   |     02     |     00     |
|   0x2218   |     02     |     00     |
|   0x2224   |     02     |     00     |
|   0x2228   |     02     |     00     |
|   0x2252   |     02     |     00     |
|   0x229a   |     02     |     00     |
|   0x2326   |     02     |     00     |
|   0x2377   |     02     |     00     |
|   0x2416   |     02     |     00     |
|   0x2437   |     02     |     00     |
|   0x243c   |     02     |     00     |
|   0x2442   |     02     |     00     |
|   0x2446   |     02     |     00     |
|   0x2470   |     02     |     00     |
|   0x24d3   |     02     |     00     |
|   0x25c8   |     02     |     00     |
|   0x25fc   |     02     |     00     |
|   0x26f8   |     02     |     00     |
|   0x2783   |     02     |     00     |
|   0x27b8   |     02     |     00     |
|   0x27d5   |     02     |     00     |
|   0x2aa1   |     02     |     00     |
|   0x2c8d   |     02     |     00     |
|   0x2d1c   |     02     |     00     |
|   0x2f79   |     02     |     00     |
|   0x2fb9   |     02     |     00     |
|   0x3006   |     02     |     00     |
|   0x30ce   |     02     |     00     |
|   0x3412   |     02     |     00     |
|   0x3465   |     02     |     00     |
|   0x351d   |     02     |     00     |
|   0x353b   |     02     |     00     |
|   0x3628   |     02     |     00     |
|   0x362f   |     02     |     00     |
|   0x3677   |     02     |     00     |
|   0x36f6   |     02     |     00     |
|   0x3782   |     02     |     00     |
|   0x385c   |     02     |     00     |
|   0x3873   |     02     |     00     |
|   0x3905   |     02     |     00     |
|   0x3958   |     02     |     00     |
|   0x3ab2   |     02     |     00     |
|   0x3ab4   |     02     |     00     |
|   0x3ad3   |     02     |     00     |
|   0x3adf   |     02     |     00     |
