#{"t_start": 1720015164.6043022, "env_id": "None"}
r,l,t
17.95999,16385,462.010432
9.540171,16385,462.014932
-1.6797444,16385,462.014932
14.550283,16385,462.015932
15.540307,16385,462.015932
-3.4048061,16385,462.015932
18.35992,16385,462.015932
13.700264,16385,462.015932
12.950248,16385,462.015932
12.680241,16385,462.015932
15.615309,16385,864.285983
10.060181,16385,864.290982
16.025312,16385,864.290982
15.860316,16385,864.290982
13.94027,16385,864.290982
15.205301,16385,864.290982
15.550307,16385,864.290982
17.090136,16385,864.290982
15.170299,16385,864.290982
14.875292,16385,864.290982
10.765177,16385,1229.513131
14.475282,16385,1229.515131
8.530123,16385,1229.515131
14.560286,16385,1229.515131
11.805218,16385,1229.515131
9.485167,16385,1229.515131
12.6902275,16385,1229.515131
13.060237,16385,1229.515131
13.720266,16385,1229.515131
14.545282,16385,1229.515131
14.705287,16385,1587.499464
13.775264,16385,1587.501961
13.3752575,16385,1587.501961
10.055181,16385,1587.501961
13.670263,16385,1587.501961
10.080181,16385,1587.501961
11.855221,16385,1587.501961
10.9002,16385,1587.501961
11.055203,16385,1587.501961
10.410188,16385,1587.501961
15.5153055,16385,1955.859379
17.685026,16385,1955.86138
18.354914,16385,1955.86138
11.930214,16385,1955.86138
8.515139,16385,1955.86138
14.9852915,16385,1955.86138
7.2652845,16385,1955.86138
17.135126,16385,1955.86138
20.759518,16385,1955.86138
-6.264843,16385,1955.86138
14.820275,16385,2307.448655
13.010247,16385,2307.448655
13.34025,16385,2307.448655
13.435235,16385,2307.448655
10.215179,16385,2307.448655
10.005179,16385,2307.448655
12.760242,16385,2307.448655
12.60023,16385,2307.448655
12.35521,16385,2307.448655
14.785289,16385,2307.448655
